,State,Hotel,Year,Rating,Traveldate,Reviews,Username,Sentiment,Sentiment_score
36,Johor,7 Heaven Boutique Hotel,2023,4,"March 9, 2023","The location of the hotel is near to many shops and restaurants. The room is very clean and the staff is friendly . the smell at the lobby especially during night, maybe it comes from the water fountain. They only provide one pillow for each person and the pillow was too thin and soft",Nooraishah,Positive,0.143958333
37,Johor,7 Heaven Boutique Hotel,2023,4.5,"March 3, 2023",I like the peaceful and quiet surrouding. The breakfast was nice too and of my tastes. The location is also strategic but unfortunately the weather restrain us from having us to explore more. . There's nothing much to say on this point.,Noming,Positive,0.175
38,Johor,7 Heaven Boutique Hotel,2023,4,"March 2, 2023",cleanliness . nothing,Nurul,Neutral,0
39,Johor,7 Heaven Boutique Hotel,2023,3.5,"February 25, 2023",location and easy parking . wifi and tv,Mohd,Positive,0.433333333
40,Johor,7 Heaven Boutique Hotel,2023,4,"August 9, 2023","Walking distance to a lot of eatery places . No breakfast
Looks gloomy",Muhamad,Neutral,0
41,Johor,7 Heaven Boutique Hotel,2023,4,"July 26, 2023","Simple hotel, but cosy and nice.Easy to park and plenty of casual eating spots nearby.    Staff are friendly and helpful. . Air con is a bit brutal!",Niall,Negative,-0.015277778
42,Johor,7 Heaven Boutique Hotel,2023,5,"July 25, 2023",Everything. Never expect to exactly same as comments. . Nothing,Maggie,Neutral,0
43,Johor,7 Heaven Boutique Hotel,2023,3.5,"July 24, 2023",A very good environment even for small room. . The lobby seems empty,Syamil,Positive,0.186666667
44,Johor,7 Heaven Boutique Hotel,2023,4,"July 23, 2023",Service was good and efficient . No breakfast,Noor,Positive,0.7
45,Johor,7 Heaven Boutique Hotel,2023,4.5,"July 13, 2023",Valued for the money and didn't expect such a near luxury hotel for a cheap price. I will stay there again. . During my stay I don't see anything that I don't like. Everything is so convenient.,Mohan,Positive,0.166666667
46,Johor,7 Heaven Boutique Hotel,2023,4.5,"July 11, 2023","Staff was extremely friendly . Crows were everywhere, the sound they making especially in the morning",Dawennnn,Positive,0.258333333
47,Johor,7 Heaven Boutique Hotel,2022,5,"December 11, 2022",not so spacious but enough for me and family. staffs were good . nothing.,Izzull,Positive,0.35
48,Johor,7 Heaven Boutique Hotel,2022,5,"December 6, 2022",everthinh was very nice and very great . nothing,Siti,Positive,0.89
49,Johor,7 Heaven Boutique Hotel,2022,5,"November 28, 2022",best and near to all access . none,Nur,Positive,0.55
50,Johor,7 Heaven Boutique Hotel,2022,5,"November 20, 2022",best service . no,Melissa,Positive,1
51,Johor,7 Heaven Boutique Hotel,2022,5,"November 19, 2022",Is my father last stay. He is very happy. . Nothing to didn't like.,Lewis,Positive,0.5
52,Johor,7 Heaven Boutique Hotel,2022,5,"November 3, 2022",Nice room . To,Iszanita,Positive,0.6
53,Johor,7 Heaven Boutique Hotel,2023,5,"January 23, 2023","Staff were really friendly, the room was clean. Great food all within walking distance . Nothing",Nana,Positive,0.513888889
54,Johor,7 Heaven Boutique Hotel,2023,5,"January 1, 2023",I did not get any breakfast . Nothing,Nurhasmiza,Neutral,0
55,Johor,7 Heaven Boutique Hotel,2022,4.5,"December 31, 2022",everything was very good . nothing,Siti,Positive,0.91
56,Johor,7 Heaven Boutique Hotel,2022,4.5,"December 25, 2022","Budget but very comfortable for us.
Got free flow coffee. . Nothing",Annesidek,Positive,0.46
57,Johor,7 Heaven Boutique Hotel,2022,4.5,"December 23, 2022",Nice place and beautifull view . Nothing,Mohd,Positive,0.6
58,Johor,7 Heaven Boutique Hotel,2022,4.5,"December 18, 2022","Simple, Nice and Clean HotelAmple parking spaceWill come againFree coffee . Nothing",Syed,Positive,0.341666667
59,Johor,7 Heaven Boutique Hotel,2022,4,"December 18, 2022",Location is good for business travelers especially when you are working at Pasir Gudang area. Hotel is also nearby with places to eat. Water pressure in the bathroom is strong which is very nice for shower. . Lobby area was a bit gloomy and quite. Wifi connectivity was not strong enough and always disconnected (maybe for certain area of the floor),Me\'rul,Positive,0.272993197
60,Johor,7 Heaven Boutique Hotel,2022,4,"December 12, 2022",The location and its surrounding businesses. It  provide ample parking and no hassle to check in. . The only thing that stop me from giving a full rating is the fact that for the two deluxe room was without windows. When I booked the rooms we were promised that all rooms were with windows. However when we checked in we were told that the 2 deluxe rooms were without windows due to the fact that the customers that stayed earlier extended their stay. I am surprised that this reason was given. Procedure should be that the earlier customer should move to another room and not the rooms I have been booked for..sigh so unprofessional. That is the only thing that this hotel lacks.. integrity and professionalism.,Nafisah,Positive,0.169444444
61,Johor,7 Heaven Boutique Hotel,2023,5,"May 5, 2023",housekeeping staff was very nice to help arrange our stuff. . nothing to say,Mohamad,Positive,0.78
62,Johor,7 Heaven Boutique Hotel,2023,4.5,"May 2, 2023",great location . none,Jora,Positive,0.8
63,Johor,7 Heaven Boutique Hotel,2023,4.5,"May 2, 2023","Clean room
Adequate facilities
Excellent front office staff . Maybe they can provide some instant coffee or tea in room",Dr,Positive,0.425
64,Johor,7 Heaven Boutique Hotel,2023,4.5,"April 26, 2023",I like the environment and all the facilities surrounding . If the hotel can upgrade to have their own cafe and breakfast service so that maybe in future we could pay the room with breakfast,Siti,Positive,0.3
65,Johor,7 Heaven Boutique Hotel,2023,4,"April 20, 2023",Coffee . Noise,Ayob,Neutral,0
66,Johor,7 Heaven Boutique Hotel,2023,4.5,"April 17, 2023",great location . -,Ariff,Positive,0.8
67,Johor,7 Heaven Boutique Hotel,2023,5,"April 9, 2023","Within walking distance to eateries and shops, very easy to find parking, pleasant atmosphere at night as the area is well lit, clean and comfortable room, room size relatively big for a budget hotel, good quality free WiFi connection . None",Mohd,Positive,0.451904762
68,Johor,7 Heaven Boutique Hotel,2023,3.5,"April 5, 2023",clean and comfort . sometimes wifi/internet is down.,Husein,Positive,0.105555556
69,Selangor,Aerotel Kuala Lumpur Hotel,2023,3.5,"December 26, 2023","Clean, spacious, and convenient location . Noisy. Could hear other guests moving chairs or other stuff around. Didn't get a good sleep.",Anita,Positive,0.204166667
70,Selangor,Aerotel Kuala Lumpur Hotel,2023,4.5,"December 23, 2023","The center of the airport, around the markets, is very clean, upscale and quiet . No thing",Majed,Positive,0.125555556
71,Selangor,Aerotel Kuala Lumpur Hotel,2023,4.5,"December 21, 2023","Clean and hotel standard. . The hose for the toilet broke, we tried fixing it. But all good still.",Ikhwan,Positive,0.258333333
72,Selangor,Aerotel Kuala Lumpur Hotel,2023,3.5,"December 21, 2023",Excellent location and super comfy beds. . A little overpriced for a windowless room and there was construction noises when trying to sleep.,Stephanie,Positive,0.381944444
73,Selangor,Aerotel Kuala Lumpur Hotel,2023,3.5,"December 20, 2023",Cleanliness . A bit noisy,Tsang,Neutral,0
74,Selangor,Aerotel Kuala Lumpur Hotel,2023,3.5,"December 17, 2023","Comfortable bed for sleep with lot shopping mall. . Bad sound proof, I can hear water sound, people talking and running sound. Affected my sleep",Vv,Positive,0.18
75,Selangor,Aerotel Kuala Lumpur Hotel,2023,4.5,"October 19, 2023","The hotel is in a really good position ÃÂ¢ÃÂÃÂ¦
itÃÂ¢ÃÂÃÂs in klia 2 airport but very well connected to the klia 1 terminal and 4 minute away from the express train that connects you either between terminals either to the city centre .
A lot of restaurants around as there is a huge shopping center to pass before you get to the terminal .
Very clean and easy check in or check out.
A bit pricey but a very comfortable stay if you are just stop over before your next flight . A bit pricey , especially for the 12 hours only room.",Valeria,Positive,0.263
76,Selangor,Aerotel Kuala Lumpur Hotel,2023,4.5,"October 18, 2023","Great airport hotel. Great location inside the airport terminal. I requested a quiet room for 12 hours: have a great sleep before the next early morning flight . A bit pricey But considering its location, I honestly cannot complain.",Vienna,Positive,0.442857143
77,Selangor,Aerotel Kuala Lumpur Hotel,2023,4.5,"October 18, 2023",Location is super close to the terminal . Shared bathroom,Victoria,Positive,0.333333333
78,Selangor,Aerotel Kuala Lumpur Hotel,2023,3.5,"October 13, 2023",Convenient location close to KLIA Express . Check-in was a little slow and 12 hr rate high for what you get,Vincent,Negative,-0.109166667
79,Selangor,Aerotel Kuala Lumpur Hotel,2023,4,"October 12, 2023","All staff are friendly and responsive. Hotel room is clean and comfortable. . When we arrived hotel was about 11pm and our room got affected by the construction noise (from airport), on and off till 12am. Feedback to hotel staff and they managed to respond quickly. Hope hotel can feedback to airport that all the construction should end by 10pm so that the noise won't affect customer. Thank you.",Jia,Positive,0.36875
80,Selangor,Aerotel Kuala Lumpur Hotel,2023,4,"October 11, 2023",Love the location. Excellent for overnight transit. Clean and comfortable. . The lights too dim,Annisa,Positive,0.473333333
81,Selangor,Aerotel Kuala Lumpur Hotel,2023,4,"October 10, 2023","Super easy and comfy hotel of you need to be at the airport . They put us in a very tiny room. Didn't look like the pictures. So I went to ask, they said it is the same room but they have it in different sizes.
I told them I wanted what I paid for. If the room sizes are that different (it was for sure 6m2less) then they should handle different prices on those rooms.
So we switched rooms
The picture is of the first room we got. Compare it to the booking.com pictures ;)",Tom,Positive,0.176666667
82,Selangor,Aerotel Kuala Lumpur Hotel,2023,4,"October 30, 2023","It was quiet and comfortable . I didn't realize I would be sharing a bathroom, so I think the price was to much for a share bathroom concept.",Libby,Positive,0.2
83,Selangor,Aerotel Kuala Lumpur Hotel,2023,3.5,"October 28, 2023",Comfortable bed. Easy access to airport. . No windows,Cooks,Positive,0.416666667
84,Selangor,Aerotel Kuala Lumpur Hotel,2023,3.5,"October 28, 2023",Location and facilities . We can hear a construction during the whole night!!,Matias,Positive,0.3125
85,Selangor,Aerotel Kuala Lumpur Hotel,2023,4,"October 26, 2023","Location is very convenient, landslide of the terminal in a mall with lots of food outlets and other amenities. . Please treat your staff with some respect and give them a decent uniform. The poor man who checked me in looked awful in that yellow shirt- too tight and tacky looking fabric. Everything else about the hotel looked tasteful which made it look even more out of place.
AC in my room was set ridiculously low. I had to change the temp after checking in and then leave the room while I waited for it to warm up.",Hannah,Negative,-0.023690476
86,Selangor,Aerotel Kuala Lumpur Hotel,2023,3.5,"October 26, 2023",Check in was a debarcle!! . Either efficient staff or more staff.,Ronelle,Positive,0.5
87,Selangor,Aerotel Kuala Lumpur Hotel,2023,4.5,"October 25, 2023","The accessibility and convenience that close to the train station, and within KLIA2 terminal..its a good stop for a long journey. Facilities available were nice and enough amenities available for stay. Check-in and out was a breeze! . Cleanliness for the shared bathroom can be improved. Although its good that the staff always clean it whenever it was used. Just it would be good if we have an indicator that showed the shared shower was in use or not, since have to constantly check for it when want to use it.",Mohd,Positive,0.391666667
88,Selangor,Aerotel Kuala Lumpur Hotel,2023,4.5,"October 25, 2023","The hotel was just outside security at the airport, only minutes after picking up our bags we were at the hotel. . The water was turned off from 12:30 to 2 am but we were still able to brush our teeth. It wasnÃÂ¢ÃÂÃÂt much of an inconvenience and it was on again for showers in the morning.",Ronald,Positive,0.175
89,Selangor,Aerotel Kuala Lumpur Hotel,2023,4.5,"October 23, 2023",the room . dont have any,Eny,Neutral,0
90,Selangor,Aerotel Kuala Lumpur Hotel,2023,4,"October 21, 2023",Location within airport and excellent choice for those going for early morning flights or long layover. . The room is quite warm as the A/C thermostat cannot be adjusted. Informed front desk and housekeeping and was reassured that it will take quite a while for it to adjust. Unfortunately it remains the same the whole time.,Roziah,Positive,0.192857143
91,Selangor,Aerotel Kuala Lumpur Hotel,2023,4,"November 23, 2023",The hotel is close to restaurants and the train to get to the airport. . The reception desk staff were brusque and not as friendly as we'd experienced at 5 other hotels during our travels. We had to wait a long while to be seen to.  There was no-one present at the desk when we had to leave our key in the very early morning.,Reinhold,Positive,0.161428571
92,Selangor,Aerotel Kuala Lumpur Hotel,2023,4,"November 23, 2023","In airport , exellent . No window ,,,,,",Wayne,Neutral,0
93,Selangor,Aerotel Kuala Lumpur Hotel,2023,3.5,"November 23, 2023","Located right inside a mall that has a food court, pharmacy, grocery .... . Price over-rated for a window-less room and basic amenities.",Chung,Positive,0.142857143
94,Selangor,Aerotel Kuala Lumpur Hotel,2023,4,"November 22, 2023","At airport . Nothing , no breakfast ÃÂ¢ÃÂÃÂ¦ but fast good - 1 min away",Wayne,Positive,0.45
95,Selangor,Aerotel Kuala Lumpur Hotel,2023,4.5,"November 22, 2023",Clean and location (it is inside the airport) . Flexible checking in,Dhiraj,Positive,0.366666667
96,Selangor,Aerotel Kuala Lumpur Hotel,2023,4.5,"November 20, 2023","I always value a decent transit hotel, and Aerotel certainly fits the bill. Its convenient location is a significant advantage, making it an ideal choice for travelers on layovers. The standout feature for us was the availability of family rooms. Traveling with a group of four, we found the room to be not only spacious but also cozyÃÂ¢ÃÂÃÂa perfect combination for a comfortable rest during our layover. . attempted to contact them proved to be quite frustrating as numerous calls went unanswered. Additionally, the pillows provided were not up to par, lacking the expected comfort.our stay coincided with ongoing renovations. Regrettably, the soundproofing seemed inadequate, and we were unable to enjoy a peaceful rest due to the disturbances caused by the construction noise.",Jiaying,Positive,0.165396825
97,Selangor,Aerotel Kuala Lumpur Hotel,2023,4.5,"November 20, 2023",Quick check in . Price point,Sophie,Positive,0.333333333
98,Selangor,Aerotel Kuala Lumpur Hotel,2023,3.5,"November 18, 2023",Location . To pricey,Alex,Neutral,0
99,Selangor,Aerotel Kuala Lumpur Hotel,2023,4,"November 16, 2023",location n comfortable . front staff not friendly,Sahida,Positive,0.10625
100,Selangor,Aerotel Kuala Lumpur Hotel,2023,4,"November 16, 2023","Staff are helpful . Noise of renovation and I couldn't set the air conditioner temperature from 21 C to 26 C
Room is bit smaller as compared to other room",Lim,Negative,-0.0625
101,Selangor,Aerotel Kuala Lumpur Hotel,2023,4.5,"November 14, 2023","Perfect spot at KLIA2
Comfort space for personal
Clean and full amenities . Hot water isnt hot enough
Still can hear announcement from airport
No breakfast choice",Yanto,Positive,0.316666667
102,Selangor,Aerotel Kuala Lumpur Hotel,2023,4,"November 14, 2023",room is very clean and comfy . bothing,Sunny,Positive,0.476666667
103,Selangor,Aerotel Kuala Lumpur Hotel,2023,4,"November 14, 2023",It was very comfortable and easy to sleep in. . Getting between terminals is a confusing and stressful nightmare. WeÃÂ¢ÃÂÃÂd avoid KL going forward and go through Singapore or the like to avoid the change in terminals.,Kerrie,Positive,0.217777778
104,Selangor,Aerotel Kuala Lumpur Hotel,2023,4,"November 8, 2023","Great location, although a little bit hard to find initially. . Explanation of additional facilities at check in eg access to lounge for free coffee.  Minor niggle given the short stay.",Leslie,Positive,0.095833333
105,Selangor,Aerotel Kuala Lumpur Hotel,2023,4,"November 7, 2023",It was clean and perfectly situated as we had a 11 hour stopover.  It was great to be able to have a shower before a 13 hour flight . Nothing,Catherine,Positive,0.666666667
106,Selangor,Aerotel Kuala Lumpur Hotel,2023,4.5,"November 7, 2023","I liked the convenience of being able to book a short-term hotel stay without having to leave the airport.
My room was very clean, quiet and comfortable.
It was very accessible to restaurants in the airport.
And, there's a premium lounge within steps from the front entrance.
The lounge is not included in your stay, but there is a bar outside of the lounge to sit and have drinks and a light meal.
Everything was very convenient.
Even catching the KLIA Expres was convenient.   It cost only RM 2 Ringit and one stop away to reach the international terminal.
There's also a free bus to KLIA terminal 1, but you have to go outside to catch it.
KLIA Expres was steps away from the Aerotel. . I didn't like not having any windows, but I got over it quickly.
I would suggest that they put some air fresheners in the hallways.   It smelled like someone used the bathroom and stunk up the public hallways.",Charlotte,Positive,0.27484375
107,Selangor,Aerotel Kuala Lumpur Hotel,2023,4,"November 6, 2023",location is great and the place is very clean . no luggage storage service,Sophia,Positive,0.638333333
108,Selangor,Aerotel Kuala Lumpur Hotel,2023,4,"November 3, 2023","strategic. located inside airport building. . the room is not big enough , the rate is quite expensive.",Ani,Negative,-0.166666667
109,Selangor,Aerotel Kuala Lumpur Hotel,2023,4,"September 15, 2023",The location is convenient and easy to find. The room is comfortable and modern. The shower room is quite clean and comfortable. . Noise from other rooms. Sometimes the guests close the room in a loud noise.,Trang,Positive,0.253571429
110,Selangor,Aerotel Kuala Lumpur Hotel,2023,4.5,"September 14, 2023","Location, staffs & room . Nothing",Azian,Neutral,0
111,Selangor,Aerotel Kuala Lumpur Hotel,2023,4,"September 13, 2023",Very good . No meal provided,Yiek,Positive,0.91
112,Selangor,Aerotel Kuala Lumpur Hotel,2023,4,"September 11, 2023","Location was perfect
Very nice staff
Clean . Some clicking noise inside the room & and i can hear noise from other rooms",Omar,Positive,0.505416667
113,Selangor,Aerotel Kuala Lumpur Hotel,2023,4,"September 11, 2023",Bed was comfortable. . There were no closets and shelves.,Kumiko,Positive,0.4
114,Selangor,Aerotel Kuala Lumpur Hotel,2023,3.5,"September 10, 2023","The room and the bathroom is perfectly clean, just like how the advertisement shown. The AC works fine. For domestic flight, it's very convenient for you to get a good rest before departure, especially every restaurant is nearby. It may be a little pricey, but it fits with it's location and fairness. . The room is a little smaller than I expected in according to the advertisement, but I understand that it's only for 12 hours stay policy. Also, we had some several issues when it comes to the door key card, better make sure the door is locked twice ya. The reception service is decent, could've been better but I bet they're just tired.",Nyrehs,Positive,0.1375
115,Selangor,Aerotel Kuala Lumpur Hotel,2023,4,"September 9, 2023","It is right at the airport among many airport shops and cafes. . Getting there from the arrival terminal is a little tricky. There should be at least one more, clear direction sign in each terminal.",Michael,Positive,0.149702381
116,Selangor,Aerotel Kuala Lumpur Hotel,2023,4.5,"September 9, 2023","Very close to the departure gate. Room was spacy, comfortable bed. Definitely will jave good night sleep while waiting for the flight . A bit pricy after covid 19",Junaidi,Positive,0.325
117,Selangor,Aerotel Kuala Lumpur Hotel,2023,3.5,"December 13, 2023",The location and the hotel overall look. Looks expensive. . The cleanliness of shared bathroom. Can be dirty at times. I can hear a person snoring from my room. It was so loud.,Dayangku,Negative,-0.25
118,Selangor,Aerotel Kuala Lumpur Hotel,2023,4.5,"December 12, 2023","The hotel is located right in the mall next to Terminal 2 which gives you a great choice of food and shopping options during your stay. . Compared to the rooms I have been staying in before, the rooms with shared shower facilities are a bit more noisy.",Stefan,Positive,0.396428571
119,Selangor,Aerotel Kuala Lumpur Hotel,2023,4.5,"December 11, 2023",The facilities were great. So clean and comfortable . It was far away from Terminal one. It took an hour to get out. DidnÃÂ¢ÃÂÃÂt realise that you needed to get through immigration and then take bus to Terminal 2. This should be told to customers booking. It was stressful,Rachel,Positive,0.416666667
120,Selangor,Aerotel Kuala Lumpur Hotel,2023,3.5,"December 11, 2023","Location, that was my priority as I had a very early flight the next mornibg. Staff was friendly, room was big and amenities good enough for the 12hrs i paid for . There was construction noise all night and i couldn't get a good night sleep  (it seemed to be coming from upper floor). Hallways are a bit dark. My room was the last room in the last hallway all the way in the back so that was  annoying. I think it's expensive  for what you get but the other options in KLI2  sounded worse.",Angela,Negative,-0.004375
121,Selangor,Aerotel Kuala Lumpur Hotel,2023,4.5,"December 8, 2023","We need to stay because of the layover for 16 hours. The staff is really helpful and the room is spacious. There is several flight information inside the hotel. It's near the departure and easy to find from arrival (follow the sign). . We only stay for 12 hours and after they got us a room turns out the room is not ready (in the middle of cleaning) we waited for around 15 min but they didn't finished. But they helped us to reach receptionist and got us a new room and change the check out time. But we were tired at that time, please do make sure that the room you are giving is ready to use when someone checked in.",Adnani,Positive,0.097245179
122,Selangor,Aerotel Kuala Lumpur Hotel,2023,4,"December 6, 2023",Location . Check-in time after 2pm (not flexible),Shahiruddin,Neutral,0
123,Selangor,Aerotel Kuala Lumpur Hotel,2023,3.5,"December 6, 2023","Room was immaculately clean. Good shower facilities and convenience of location right next to terminal transfer station and restaurants. . Booking restricted by hours instead of by nights. Booked one night, which ended up being 12 hours instead. Was unable to check in on arrival, and had to leave luggage elsewhere for the day.",Konohalotus8,Positive,0.17047619
124,Selangor,Aerotel Kuala Lumpur Hotel,2023,3.5,"December 2, 2023","Fast check in, fast check out, easy to find room. . N lobby.  Lighting in the room was too dim. Not so friendly staff.",Mohd,Positive,0.261666667
125,Selangor,Aerotel Kuala Lumpur Hotel,2023,4,"December 2, 2023","Easy to locate, fast check in, fast check out. Inside airport so easy to find dinner. . Can actually hear next door talking/opening door. Not so friendly staff.",Mohd,Positive,0.23452381
